dev,seq,hint,threads,time,workGB,tlb,readGB,CPUwork
/dev/md127,1,0,20,1.01078,6.24456,0,57.2434,3831
/dev/md127,1,0,20,2.02163,6.79059,3,57.5695,3776
/dev/md127,1,0,20,3.0325,6.82031,0,57.6429,3807
/dev/md127,1,0,20,4.04339,6.93156,0,57.163,3807
/dev/md127,1,0,20,5.05416,6.69784,2,57.5428,3807
/dev/md127,1,0,20,6.06512,6.76927,1,57.6434,3807
/dev/md127,1,0,20,7.07602,6.86241,1,57.6251,3807
/dev/md127,1,0,20,8.08689,6.84917,0,57.5229,3807
/dev/md127,1,0,20,9.10268,6.80889,0,57.7875,3825
/dev/md127,1,0,20,10.1186,6.80353,0,58.2703,3826
/dev/md127,1,0,20,11.1298,6.85254,0,57.9299,3808
/dev/md127,1,0,20,12.1456,6.75073,0,57.9001,3825
/dev/md127,1,0,20,13.1614,6.77179,0,57.9384,3826
/dev/md127,1,0,20,14.1773,6.83099,0,57.8241,3826
/dev/md127,1,0,20,15.1925,2.80048,0,50.9841,3823
/dev/md127,1,0,20,16.2078,0,0,47.8916,3825
/dev/md127,1,0,20,17.2228,0.00976562,0,45.6786,3823
/dev/md127,1,0,20,18.2384,0.0782738,59907,40.7121,3818
/dev/md127,1,0,20,19.2543,2.49868,445270,58.8803,3763
/dev/md127,1,0,20,20.2702,2.61273,458866,57.3677,3764
/dev/md127,1,0,20,21.2861,2.78816,444349,57.9682,3767
/dev/md127,1,0,20,22.3022,2.6618,448300,58.0579,3766
/dev/md127,1,0,20,23.3179,2.54218,478313,57.9573,3762
/dev/md127,1,0,20,24.3291,2.81555,440128,57.446,3750
/dev/md127,1,0,20,25.3399,2.75,445698,58.0792,3746
/dev/md127,1,0,20,26.351,2.64453,450734,57.5674,3749
/dev/md127,1,0,20,27.362,2.57617,462406,57.7578,3748
/dev/md127,1,0,20,28.373,2.53906,463118,57.8229,3748
/dev/md127,1,0,20,29.3838,2.82617,428416,57.1633,3750
/dev/md127,1,0,20,30.3946,2.52802,464752,57.1023,3746
/dev/md127,1,0,20,31.4052,2.71005,441216,58.1176,3748
/dev/md127,1,0,20,32.4162,2.53067,463201,57.7749,3747
/dev/md127,1,0,20,33.4269,2.74493,443115,57.4776,3748
/dev/md127,1,0,20,34.4379,2.63232,449734,57.7492,3748
/dev/md127,1,0,20,35.4486,2.55713,467212,57.7533,3745
/dev/md127,1,0,20,36.4594,2.92773,422640,57.9412,3750
/dev/md127,1,0,20,37.4704,2.38574,476462,57.7227,3746
/dev/md127,1,0,20,38.4813,2.84856,436504,57.6606,3750
/dev/md127,1,0,20,39.4924,2.67293,449890,57.5067,3748
/dev/md127,1,0,20,40.5031,2.46094,475207,57.5779,3745
/dev/md127,1,0,20,41.5141,2.88574,428372,57.6206,3751
/dev/md127,1,0,20,42.5251,2.42352,478281,57.7654,3745
/dev/md127,1,0,20,43.5361,2.95929,430983,57.5278,3751
/dev/md127,1,0,20,44.547,2.59375,466331,57.7013,3747
/dev/md127,1,0,20,45.5577,2.52734,465028,55.3609,3745
/dev/md127,1,0,20,46.5688,2.75098,438201,57.4993,3750
/dev/md127,1,0,20,47.5797,2.74072,442471,57.7219,3748
/dev/md127,1,0,20,48.5906,2.40652,474426,57.5651,3744
/dev/md127,1,0,20,49.6015,2.94034,425662,57.998,3752
/dev/md127,1,0,20,50.6124,2.62567,446983,57.4622,3747
/dev/md127,1,0,20,51.6236,2.37708,482669,57.6167,3745
/dev/md127,1,0,20,52.6344,2.72266,438286,55.2717,3749
/dev/md127,1,0,20,53.6456,2.88232,439244,58.0154,3751
/dev/md127,1,0,20,54.6564,2.43848,474361,57.2525,3744
/dev/md127,1,0,20,55.667,1.73932,242992,55.5539,3775
/dev/md127,1,0,20,56.6776,0,126,54.255,3806
/dev/md127,1,0,20,57.6884,0,0,56.8529,3808
/dev/md127,1,0,20,58.6991,0.0223999,669,57.8805,3806
/dev/md127,1,0,20,59.7103,1.93768,395079,57.6479,3756
/dev/md127,1,0,20,60.7213,2.76593,441979,55.9365,3748
/dev/md127,1,0,20,61.7325,2.70898,458270,55.342,3747
/dev/md127,1,0,20,62.7436,2.75146,445232,57.3268,3748
/dev/md127,1,0,20,63.7546,2.59766,471576,57.7499,3744
/dev/md127,1,0,20,64.7654,2.74298,452355,57.6156,3747
/dev/md127,1,0,20,65.7763,2.56537,468481,57.6227,3744
/dev/md127,1,0,20,66.7872,2.88696,441058,57.9011,3749
/dev/md127,1,0,20,67.7981,2.66505,458271,57.5302,3745
/dev/md127,1,0,20,68.8089,2.63555,458868,58.152,3745
/dev/md127,1,0,20,69.8199,2.67548,449823,57.664,3746
/dev/md127,1,0,20,70.8308,2.55354,469112,57.69,3745
/dev/md127,1,0,20,71.8417,2.87273,439824,55.7015,3748
/dev/md127,1,0,20,72.8527,2.44305,489463,57.247,3743
/dev/md127,1,0,20,73.8638,2.81378,442323,57.5399,3749
/dev/md127,1,0,20,74.8746,2.64258,465283,57.8926,3745
/dev/md127,1,0,20,75.8856,2.7755,437666,57.3065,3749
/dev/md127,1,0,20,76.8966,2.59248,460903,56.8994,3746
/dev/md127,1,0,20,77.9076,2.70917,439799,58.1836,3749
/dev/md127,1,0,20,78.9187,2.72852,444729,57.8661,3749
/dev/md127,1,0,20,79.9296,2.51465,466882,57.7603,3746
/dev/md127,1,0,20,80.9405,2.76416,435576,57.0637,3750
/dev/md127,1,0,20,81.9513,2.5697,464632,55.3102,3746
/dev/md127,1,0,20,82.9622,2.84973,432132,58.4139,3750
